Date,IT Department,Cost Element,Country,Actual
08/01/2020,Administration,Employee Performance,USA,290
08/01/2020,Administration,External Labor,United Kingdom,-719
08/01/2020,Administration,External Labor,USA,"78,392"
08/01/2020,Administration,Internal Labor,Germany,"1,196"
08/01/2020,Administration,Internal Labor,Italy,"4,675"
08/01/2020,Administration,Internal Labor,United Kingdom,"22,642"
08/01/2020,Administration,Internal Labor,USA,"99,840"
08/01/2020,Administration,Legal,USA,300
08/01/2020,Administration,Moving,USA,"5,492"
08/01/2020,Administration,Other,United Kingdom,-7
08/01/2020,Administration,Other,USA,"-19,248"
08/01/2020,Administration,Outbound Allocations,United Kingdom,727
08/01/2020,Administration,Recognition,Germany,203
08/01/2020,Administration,Severance,Italy,308
08/01/2020,Administration,Software,USA,6
08/01/2020,Administration,Software Maintenance,USA,4
08/01/2020,Administration,Supplies,USA,209
08/01/2020,Administration,Telecomm,Italy,50
08/01/2020,Administration,Telecomm,United Kingdom,-87
08/01/2020,Administration,Telecomm,USA,478
08/01/2020,Administration,Training,USA,44
08/01/2020,Administration,Travel,USA,"6,726"
08/01/2020,Architecture,Depreciation,USA,693
08/01/2020,Architecture,Employee Performance,USA,33
08/01/2020,Architecture,External Labor,USA,42
08/01/2020,Architecture,Hardware,USA,248
08/01/2020,Architecture,Internal Labor,USA,"39,629"
08/01/2020,Architecture,Other,USA,"-1,627"
08/01/2020,Architecture,Software,USA,11
08/01/2020,Architecture,Software Maintenance,USA,8
08/01/2020,Architecture,Supplies,USA,268
08/01/2020,Architecture,Taxes,USA,44
08/01/2020,Architecture,Telecomm,USA,"1,004"
08/01/2020,Architecture,Training,USA,362
08/01/2020,Business Intelligence,Employee Performance,USA,76
08/01/2020,Business Intelligence,External Labor,USA,"20,188"
08/01/2020,Business Intelligence,Hardware,USA,"1,183"
08/01/2020,Business Intelligence,Internal Labor,USA,"61,894"
08/01/2020,Business Intelligence,Software,USA,79
08/01/2020,Business Intelligence,Software Maintenance,USA,57
08/01/2020,Business Intelligence,Telecomm,USA,377
08/01/2020,Business Intelligence,Training,USA,"1,155"
08/01/2020,Business Intelligence,Travel,USA,242
08/01/2020,Core,Employee Performance,USA,90
08/01/2020,Core,External Labor,USA,"37,262"
08/01/2020,Core,Internal Labor,USA,"19,700"
08/01/2020,Core,Supplies,USA,10
08/01/2020,Core,Telecomm,United Kingdom,-170
08/01/2020,Core,Telecomm,USA,173
08/01/2020,Core,Training,USA,206
08/01/2020,Core,Travel,USA,"3,442"
08/01/2020,Core Infrastructure,Amortization,Mexico,"1,380"
08/01/2020,Core Infrastructure,CAPEX,USA,15
08/01/2020,Core Infrastructure,Depreciation,Brazil,"13,199"
08/01/2020,Core Infrastructure,Depreciation,Canada,"5,056"
08/01/2020,Core Infrastructure,Depreciation,Mexico,"3,723"
08/01/2020,Core Infrastructure,Depreciation,New Zealand,"9,904"
08/01/2020,Core Infrastructure,Depreciation,USA,378
08/01/2020,Core Infrastructure,Employee Performance,USA,38
08/01/2020,Core Infrastructure,External Labor,Brazil,"20,624"
08/01/2020,Core Infrastructure,External Labor,Canada,"19,661"
08/01/2020,Core Infrastructure,External Labor,Mexico,"32,993"
08/01/2020,Core Infrastructure,External Labor,New Zealand,"9,246"
08/01/2020,Core Infrastructure,External Labor,USA,"301,249"
08/01/2020,Core Infrastructure,Hardware,Brazil,"1,387"
08/01/2020,Core Infrastructure,Hardware,Mexico,"21,453"
08/01/2020,Core Infrastructure,Hardware,New Zealand,"106,545"
08/01/2020,Core Infrastructure,Hardware,USA,"1,474"
08/01/2020,Core Infrastructure,Hardware Maintenance,Brazil,"18,512"
08/01/2020,Core Infrastructure,Hardware Maintenance,Canada,"9,383"
08/01/2020,Core Infrastructure,Hardware Maintenance,Mexico,"6,528"
08/01/2020,Core Infrastructure,Inbound Allocations,New Zealand,"10,300"
08/01/2020,Core Infrastructure,Internal Labor,Brazil,"9,451"
08/01/2020,Core Infrastructure,Internal Labor,Canada,"-3,421"
08/01/2020,Core Infrastructure,Internal Labor,Mexico,"3,013"
08/01/2020,Core Infrastructure,Internal Labor,New Zealand,"37,615"
08/01/2020,Core Infrastructure,Internal Labor,Switzerland,"3,061"
08/01/2020,Core Infrastructure,Internal Labor,USA,"39,197"
08/01/2020,Core Infrastructure,Moving,USA,"9,385"
08/01/2020,Core Infrastructure,Other,Brazil,"11,082"
08/01/2020,Core Infrastructure,Other,Canada,3
08/01/2020,Core Infrastructure,Other,Mexico,"16,180"
08/01/2020,Core Infrastructure,Other,New Zealand,"1,906"
08/01/2020,Core Infrastructure,Other,USA,178
08/01/2020,Core Infrastructure,Recognition,New Zealand,548
08/01/2020,Core Infrastructure,Severance,Brazil,483
08/01/2020,Core Infrastructure,Severance,Mexico,250
08/01/2020,Core Infrastructure,Severance,New Zealand,551
08/01/2020,Core Infrastructure,Software,Canada,105
08/01/2020,Core Infrastructure,Software,New Zealand,"1,791"
08/01/2020,Core Infrastructure,Supplies,Brazil,51
08/01/2020,Core Infrastructure,Supplies,Canada,117
08/01/2020,Core Infrastructure,Supplies,New Zealand,785
08/01/2020,Core Infrastructure,Supplies,USA,197
08/01/2020,Core Infrastructure,Taxes,USA,9
08/01/2020,Core Infrastructure,Telecomm,Brazil,"2,429"
08/01/2020,Core Infrastructure,Telecomm,Canada,"2,034"
08/01/2020,Core Infrastructure,Telecomm,Mexico,"1,926"
08/01/2020,Core Infrastructure,Telecomm,New Zealand,"18,100"
08/01/2020,Core Infrastructure,Telecomm,Switzerland,"1,224"
08/01/2020,Core Infrastructure,Telecomm,USA,485
08/01/2020,Core Infrastructure,Training,Brazil,72
08/01/2020,Core Infrastructure,Training,Mexico,95
08/01/2020,Core Infrastructure,Training,New Zealand,"2,203"
08/01/2020,Core Infrastructure,Training,USA,37
08/01/2020,Core Infrastructure,Travel,Brazil,14
08/01/2020,Core Infrastructure,Travel,Mexico,10
08/01/2020,Core Infrastructure,Travel,New Zealand,"-2,115"
08/01/2020,Core Infrastructure,Travel,Switzerland,"2,050"
08/01/2020,Core Infrastructure,Travel,USA,21
08/01/2020,Core Infrastructure,Vehicles,Mexico,33
08/01/2020,Core Infrastructure,Vehicles,New Zealand,57
08/01/2020,Data Centers,Amortization,USA,176
08/01/2020,Data Centers,Depreciation,Ireland,639
08/01/2020,Data Centers,Depreciation,United Kingdom,"19,151"
08/01/2020,Data Centers,Depreciation,USA,"234,903"
08/01/2020,Data Centers,Employee Performance,USA,350
08/01/2020,Data Centers,External Labor,Germany,185
08/01/2020,Data Centers,External Labor,United Kingdom,"105,821"
08/01/2020,Data Centers,External Labor,USA,"399,402"
08/01/2020,Data Centers,Hardware,United Kingdom,"71,040"
08/01/2020,Data Centers,Hardware,USA,"28,600"
08/01/2020,Data Centers,Hardware Maintenance,United Kingdom,"13,122"
08/01/2020,Data Centers,Hardware Maintenance,USA,"-196,222"
08/01/2020,Data Centers,Internal Labor,Austria,"3,759"
08/01/2020,Data Centers,Internal Labor,Germany,"11,174"
08/01/2020,Data Centers,Internal Labor,Netherlands,"3,721"
08/01/2020,Data Centers,Internal Labor,Spain,768
08/01/2020,Data Centers,Internal Labor,United Kingdom,"10,628"
08/01/2020,Data Centers,Internal Labor,USA,"120,319"
08/01/2020,Data Centers,Other,Austria,50
08/01/2020,Data Centers,Other,Netherlands,5
08/01/2020,Data Centers,Other,United Kingdom,-162
08/01/2020,Data Centers,Other,USA,29
08/01/2020,Data Centers,Recognition,Austria,44
08/01/2020,Data Centers,Severance,Austria,38
08/01/2020,Data Centers,Software,USA,"22,271"
08/01/2020,Data Centers,Software Maintenance,USA,"384,802"
08/01/2020,Data Centers,Supplies,USA,429
08/01/2020,Data Centers,Taxes,USA,"17,338"
08/01/2020,Data Centers,Telecomm,Austria,75
08/01/2020,Data Centers,Telecomm,United Kingdom,-334
08/01/2020,Data Centers,Telecomm,USA,928
08/01/2020,Data Centers,Training,United Kingdom,561
08/01/2020,Data Centers,Training,USA,44
08/01/2020,Data Centers,Travel,Netherlands,371
08/01/2020,Data Centers,Travel,Spain,249
08/01/2020,Data Centers,Travel,United Kingdom,"-1,191"
08/01/2020,Data Centers,Travel,USA,866
08/01/2020,Data Centers,Vehicles,Netherlands,419
08/01/2020,Data Centers,Vehicles,Spain,253
08/01/2020,Data Centers,Vehicles,United Kingdom,1
08/01/2020,Data Management,Depreciation,Germany,"4,554"
08/01/2020,Data Management,Internal Labor,Germany,"2,887"
08/01/2020,Data Management,Internal Labor,Spain,657
08/01/2020,Data Management,Telecomm,Germany,"-2,116"
08/01/2020,Data Management,Travel,Spain,103
08/01/2020,Data Management,Vehicles,Spain,514
08/01/2020,Development,Employee Performance,USA,26
08/01/2020,Development,External Labor,United Kingdom,911
08/01/2020,Development,External Labor,USA,"127,592"
08/01/2020,Development,Inbound Allocations,United Kingdom,137
08/01/2020,Development,Internal Labor,Belgium,"4,998"
08/01/2020,Development,Internal Labor,Germany,"1,404"
08/01/2020,Development,Internal Labor,Spain,869
08/01/2020,Development,Internal Labor,United Kingdom,"7,232"
08/01/2020,Development,Internal Labor,USA,"137,555"
08/01/2020,Development,Moving,USA,"3,127"
08/01/2020,Development,Other,Belgium,14
08/01/2020,Development,Other,Spain,48
08/01/2020,Development,Other,United Kingdom,-32
08/01/2020,Development,Outbound Allocations,United Kingdom,"1,166"
08/01/2020,Development,Outbound Allocations,USA,"-2,506"
08/01/2020,Development,Software,USA,"82,496"
08/01/2020,Development,Software Maintenance,USA,"22,561"
08/01/2020,Development,Supplies,USA,268
08/01/2020,Development,Taxes,USA,"1,007"
08/01/2020,Development,Telecomm,Belgium,41
08/01/2020,Development,Telecomm,United Kingdom,-3
08/01/2020,Development,Telecomm,USA,733
08/01/2020,Development,Training,United Kingdom,-626
08/01/2020,Development,Training,USA,830
08/01/2020,Development,Travel,Belgium,-496
08/01/2020,Development,Travel,Spain,"1,399"
08/01/2020,Development,Travel,United Kingdom,-96
08/01/2020,Development,Travel,USA,"3,122"
08/01/2020,Development,Vehicles,Belgium,345
08/01/2020,Development,Vehicles,United Kingdom,1
08/01/2020,Distribution,Amortization,Italy,"5,492"
08/01/2020,Distribution,Depreciation,Belgium,17
08/01/2020,Distribution,Depreciation,Italy,291
08/01/2020,Distribution,Depreciation,Switzerland,448
08/01/2020,Distribution,Depreciation,United Kingdom,27
08/01/2020,Distribution,Employee Performance,USA,8
08/01/2020,Distribution,External Labor,France,"-3,247"
08/01/2020,Distribution,External Labor,United Kingdom,"4,514"
08/01/2020,Distribution,External Labor,USA,"78,477"
08/01/2020,Distribution,Hardware,Canada,59
08/01/2020,Distribution,Hardware,France,708
08/01/2020,Distribution,Hardware,United Kingdom,607
08/01/2020,Distribution,Inbound Allocations,Czech Republic,"38,322"
08/01/2020,Distribution,Internal Labor,Belgium,"11,530"
08/01/2020,Distribution,Internal Labor,Canada,"6,735"
08/01/2020,Distribution,Internal Labor,France,"28,469"
08/01/2020,Distribution,Internal Labor,Germany,"24,701"
08/01/2020,Distribution,Internal Labor,Italy,"9,152"
08/01/2020,Distribution,Internal Labor,Spain,"1,425"
08/01/2020,Distribution,Internal Labor,Switzerland,"9,165"
08/01/2020,Distribution,Internal Labor,United Kingdom,"13,363"
08/01/2020,Distribution,Internal Labor,USA,"83,871"
08/01/2020,Distribution,Moving,United Kingdom,"-1,928"
08/01/2020,Distribution,Other,Belgium,"3,648"
08/01/2020,Distribution,Other,Canada,61
08/01/2020,Distribution,Other,Germany,"-6,755"
08/01/2020,Distribution,Other,Switzerland,"-5,489"
08/01/2020,Distribution,Other,United Kingdom,656
08/01/2020,Distribution,Outbound Allocations,United Kingdom,727
08/01/2020,Distribution,Severance,Italy,593
08/01/2020,Distribution,Software,USA,17
08/01/2020,Distribution,Software Maintenance,USA,12
08/01/2020,Distribution,Supplies,Belgium,462
08/01/2020,Distribution,Supplies,Canada,"55,714"
08/01/2020,Distribution,Supplies,USA,23
08/01/2020,Distribution,Telecomm,Belgium,41
08/01/2020,Distribution,Telecomm,Canada,38
08/01/2020,Distribution,Telecomm,Czech Republic,31
08/01/2020,Distribution,Telecomm,Italy,150
08/01/2020,Distribution,Telecomm,Switzerland,42
08/01/2020,Distribution,Telecomm,United Kingdom,"6,287"
08/01/2020,Distribution,Telecomm,USA,780
08/01/2020,Distribution,Training,USA,88
08/01/2020,Distribution,Travel,Belgium,"1,041"
08/01/2020,Distribution,Travel,Canada,815
08/01/2020,Distribution,Travel,France,827
08/01/2020,Distribution,Travel,Germany,"1,324"
08/01/2020,Distribution,Travel,Italy,267
08/01/2020,Distribution,Travel,Spain,171
08/01/2020,Distribution,Travel,Switzerland,91
08/01/2020,Distribution,Travel,United Kingdom,"1,500"
08/01/2020,Distribution,Travel,USA,381
08/01/2020,Distribution,Vehicles,Belgium,367
08/01/2020,Distribution,Vehicles,United Kingdom,"1,529"
08/01/2020,Document Management,Depreciation,USA,261
08/01/2020,Document Management,Employee Performance,USA,80
08/01/2020,Document Management,External Labor,USA,"136,636"
08/01/2020,Document Management,Hardware,USA,17
08/01/2020,Document Management,Internal Labor,USA,"108,187"
08/01/2020,Document Management,Other,USA,194
08/01/2020,Document Management,Software,USA,402
08/01/2020,Document Management,Software Maintenance,USA,"62,812"
08/01/2020,Document Management,Supplies,USA,6
08/01/2020,Document Management,Taxes,USA,154
08/01/2020,Document Management,Telecomm,USA,748
08/01/2020,Document Management,Training,USA,"1,379"
08/01/2020,Document Management,Travel,USA,"1,001"
08/01/2020,EIM,Amortization,Italy,169
08/01/2020,EIM,CAPEX,USA,"15,197"
08/01/2020,EIM,Depreciation,Italy,"1,676"
08/01/2020,EIM,Employee Performance,USA,75
08/01/2020,EIM,External Labor,USA,"64,909"
08/01/2020,EIM,Hardware,USA,106
08/01/2020,EIM,Hardware Maintenance,Italy,"3,243"
08/01/2020,EIM,Inbound Allocations,Belgium,453
08/01/2020,EIM,Internal Labor,Italy,"4,954"
08/01/2020,EIM,Internal Labor,USA,"107,469"
08/01/2020,EIM,Other,Italy,9
08/01/2020,EIM,Other,USA,48
08/01/2020,EIM,Severance,Italy,196
08/01/2020,EIM,Software,USA,"30,033"
08/01/2020,EIM,Software Maintenance,USA,"16,807"
08/01/2020,EIM,Supplies,USA,12
08/01/2020,EIM,Telecomm,USA,962
08/01/2020,EIM,Training,Italy,"-2,770"
08/01/2020,EIM,Training,USA,293
08/01/2020,EIM,Travel,Italy,"2,862"
08/01/2020,EIM,Travel,USA,758
08/01/2020,EIM,Vehicles,Italy,143
08/01/2020,Emerging,Depreciation,Brazil,"2,283"
08/01/2020,Emerging,Depreciation,Mexico,471
08/01/2020,Emerging,Depreciation,Turkey,"2,756"
08/01/2020,Emerging,Depreciation,USA,63
08/01/2020,Emerging,External Labor,Brazil,"5,405"
