Date,IT Dep.,CostElement,Country,Budget,,
01/01/2020,Administration,Employee Performance,USA,87,,
02/01/2020,Administration,Employee Performance,USA,87,,
03/01/2020,Administration,Employee Performance,USA,87,,
04/01/2020,Administration,Employee Performance,USA,87,,
05/01/2020,Administration,Employee Performance,USA,87,,
06/01/2020,Administration,Employee Performance,USA,87,,
07/01/2020,Administration,Employee Performance,USA,87,,
08/01/2020,Administration,Employee Performance,USA,87,,
09/01/2020,Administration,Employee Performance,USA,87,,
10/01/2020,Administration,Employee Performance,USA,87,,
11/01/2020,Administration,Employee Performance,USA,87,,
12/01/2020,Administration,Employee Performance,USA,87,,
01/01/2020,Administration,External Labor,USA,"15,300",,
02/01/2020,Administration,External Labor,USA,"15,300",,
03/01/2020,Administration,External Labor,USA,"15,300",,
04/01/2020,Administration,External Labor,USA,"21,900",,
05/01/2020,Administration,External Labor,USA,"21,300",,
06/01/2020,Administration,External Labor,USA,"21,300",,
07/01/2020,Administration,External Labor,USA,"114,300",,
08/01/2020,Administration,External Labor,USA,"114,300",,
09/01/2020,Administration,External Labor,USA,"114,300",,
10/01/2020,Administration,External Labor,USA,"120,330",,
11/01/2020,Administration,External Labor,USA,"144,300",,
12/01/2020,Administration,External Labor,USA,"144,300",,
01/01/2020,Administration,Hardware Maintenance,USA,135,,
02/01/2020,Administration,Hardware Maintenance,USA,135,,
03/01/2020,Administration,Hardware Maintenance,USA,135,,
04/01/2020,Administration,Hardware Maintenance,USA,135,,
05/01/2020,Administration,Hardware Maintenance,USA,135,,
06/01/2020,Administration,Hardware Maintenance,USA,135,,
07/01/2020,Administration,Hardware Maintenance,USA,135,,
08/01/2020,Administration,Hardware Maintenance,USA,135,,
09/01/2020,Administration,Hardware Maintenance,USA,135,,
10/01/2020,Administration,Hardware Maintenance,USA,135,,
11/01/2020,Administration,Hardware Maintenance,USA,135,,
12/01/2020,Administration,Hardware Maintenance,USA,135,,
01/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
02/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
03/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
04/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
05/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
06/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
07/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
08/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
09/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
10/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
11/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
12/01/2020,Administration,Internal Labor,United Kingdom,"-16,369",,
01/01/2020,Administration,Internal Labor,USA,"106,524",,
02/01/2020,Administration,Internal Labor,USA,"127,768",,
03/01/2020,Administration,Internal Labor,USA,"111,520",,
04/01/2020,Administration,Internal Labor,USA,"106,811",,
05/01/2020,Administration,Internal Labor,USA,"106,811",,
06/01/2020,Administration,Internal Labor,USA,"106,811",,
07/01/2020,Administration,Internal Labor,USA,"107,178",,
08/01/2020,Administration,Internal Labor,USA,"107,178",,
09/01/2020,Administration,Internal Labor,USA,"107,178",,
10/01/2020,Administration,Internal Labor,USA,"108,580",,
11/01/2020,Administration,Internal Labor,USA,"108,580",,
12/01/2020,Administration,Internal Labor,USA,"108,623",,
06/01/2020,Administration,Moving,USA,"2,400",,
01/01/2020,Administration,Other,United Kingdom,"-14,833",,
02/01/2020,Administration,Other,United Kingdom,"-14,833",,
03/01/2020,Administration,Other,United Kingdom,"-14,833",,
04/01/2020,Administration,Other,United Kingdom,"-14,833",,
05/01/2020,Administration,Other,United Kingdom,"-14,833",,
06/01/2020,Administration,Other,United Kingdom,"-14,833",,
07/01/2020,Administration,Other,United Kingdom,"-14,833",,
08/01/2020,Administration,Other,United Kingdom,"-14,833",,
09/01/2020,Administration,Other,United Kingdom,"-14,833",,
10/01/2020,Administration,Other,United Kingdom,"-14,833",,
11/01/2020,Administration,Other,United Kingdom,"-14,833",,
12/01/2020,Administration,Other,United Kingdom,"-14,833",,
01/01/2020,Administration,Other,USA,"30,632",,
02/01/2020,Administration,Other,USA,632,,
03/01/2020,Administration,Other,USA,"21,182",,
04/01/2020,Administration,Other,USA,632,,
05/01/2020,Administration,Other,USA,632,,
06/01/2020,Administration,Other,USA,"21,182",,
07/01/2020,Administration,Other,USA,632,,
08/01/2020,Administration,Other,USA,"24,632",,
09/01/2020,Administration,Other,USA,"20,132",,
10/01/2020,Administration,Other,USA,"1,682",,
11/01/2020,Administration,Other,USA,632,,
12/01/2020,Administration,Other,USA,"20,132",,
01/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
02/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
03/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
04/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
05/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
06/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
07/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
08/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
