Date,IT Dep.,CostElement,Country,Forecast
07/01/2020,Administration,Administrative,USA,"-21,785"
08/01/2020,Administration,Administrative,USA,"-21,785"
09/01/2020,Administration,Administrative,USA,"-21,785"
10/01/2020,Administration,Administrative,USA,"-21,785"
11/01/2020,Administration,Administrative,USA,"-21,785"
12/01/2020,Administration,Administrative,USA,"-21,785"
02/01/2020,Administration,Employee Performance,USA,27
03/01/2020,Administration,Employee Performance,USA,150
04/01/2020,Administration,Employee Performance,USA,182
05/01/2020,Administration,Employee Performance,USA,"14,265"
06/01/2020,Administration,Employee Performance,USA,383
07/01/2020,Administration,Employee Performance,USA,87
08/01/2020,Administration,Employee Performance,USA,87
09/01/2020,Administration,Employee Performance,USA,87
10/01/2020,Administration,Employee Performance,USA,87
11/01/2020,Administration,Employee Performance,USA,87
12/01/2020,Administration,Employee Performance,USA,87
01/01/2020,Administration,External Labor,United Kingdom,"1,754"
02/01/2020,Administration,External Labor,United Kingdom,"3,535"
03/01/2020,Administration,External Labor,United Kingdom,"2,218"
04/01/2020,Administration,External Labor,United Kingdom,"2,048"
05/01/2020,Administration,External Labor,United Kingdom,"4,385"
06/01/2020,Administration,External Labor,United Kingdom,"1,486"
01/01/2020,Administration,External Labor,USA,"24,376"
02/01/2020,Administration,External Labor,USA,"1,205"
03/01/2020,Administration,External Labor,USA,"96,906"
04/01/2020,Administration,External Labor,USA,"31,261"
05/01/2020,Administration,External Labor,USA,"13,056"
06/01/2020,Administration,External Labor,USA,"23,936"
07/01/2020,Administration,External Labor,USA,"60,450"
08/01/2020,Administration,External Labor,USA,"108,000"
09/01/2020,Administration,External Labor,USA,"108,000"
10/01/2020,Administration,External Labor,USA,"114,030"
11/01/2020,Administration,External Labor,USA,"138,000"
12/01/2020,Administration,External Labor,USA,"138,000"
03/01/2020,Administration,Hardware,USA,"2,901"
04/01/2020,Administration,Hardware,USA,24
05/01/2020,Administration,Hardware,USA,66
